原始名称	标准名称	映射规则	频次	来源
腰椎骨折	腰椎骨折	原始名称	23	admission,discharge
腹腔肿瘤	腹腔肿瘤	原始名称	23	admission,discharge
骨肉瘤	骨肉瘤	原始名称	23	admission
双侧卵巢切除术后状态	双侧卵巢切除术后状态	原始名称	22	admission,discharge
子宫继发恶性肿瘤	子宫继发恶性肿瘤	原始名称	22	admission,discharge
巨幼细胞性贫血	巨幼细胞性贫血	原始名称	22	admission,discharge
带状疱疹后遗症	带状疱疹后遗症	原始名称	22	admission,discharge
肝硬化失代偿期	肝硬化失代偿期	原始名称	22	admission,discharge
肝细胞癌	肝细胞癌	原始名称	22	admission,discharge
舌根恶性肿瘤	舌恶性肿瘤	同义词映射	22	admission,discharge
贲门术后	贲门术后	原始名称	22	admission,discharge
骨髓增生异常性/骨髓增殖性肿瘤(不能分型)	骨髓增生异常性/骨髓增殖性肿瘤	基础规范化	22	admission,discharge
高血压病3级(高危)	高血压3级	同义词映射	22	admission,discharge
心绞痛	心绞痛	原始名称	21	admission,discharge
急性肝功能衰竭	急性肝衰竭	同义词映射	21	admission,discharge
牙龈出血	牙龈出血	原始名称	21	admission,discharge
肝胆管扩张	肝胆管扩张	原始名称	21	admission,discharge
腹股沟恶性黑色素瘤	恶性黑色素瘤	同义词映射	21	admission,discharge
陈旧性肋骨骨折	肋骨骨折	同义词映射	21	admission,discharge
乳突炎	乳突炎	原始名称	20	admission,discharge
低血压	低血压	原始名称	20	admission,discharge
十二指肠憩室	十二指肠憩室	原始名称	20	admission,discharge
卵巢囊肿	卵巢囊肿	原始名称	20	admission,discharge
口腔恶性肿瘤个人史	口腔恶性肿瘤个人史	原始名称	20	admission,discharge
尿道炎	尿道炎	原始名称	20	admission,discharge
胃淋巴瘤	胃淋巴瘤	原始名称	20	admission,discharge
胃食管连接部继发恶性肿瘤	胃食管连接处恶性肿瘤	解剖方位归一	20	admission,discharge
胆管占位性病变	胆管占位性病变	原始名称	20	admission,discharge
脑动脉供血不足	脑动脉供血不足	原始名称	20	admission,discharge
上颌窦囊肿	上颌窦囊肿	原始名称	19	admission,discharge
低钙血症	低钙血症	原始名称	19	discharge
凝血功能异常	凝血功能异常	原始名称	19	admission,discharge
创伤性腰椎病	创伤性腰椎病	原始名称	19	discharge
局限性淋巴结增大	淋巴结肿大	同义词映射	19	admission,discharge
气管炎	支气管炎	同义词映射	19	admission,discharge
睾丸恶性肿瘤	睾丸恶性肿瘤	原始名称	19	admission,discharge
胸壁继发恶性肿瘤	胸壁继发恶性肿瘤	原始名称	19	admission,discharge
隐匿性冠状动脉粥样硬化性心脏病	冠状动脉粥样硬化性心脏病	同义词映射	19	discharge
高钾血症	高钾血症	原始名称	19	admission,discharge
关节炎	关节炎	原始名称	18	admission,discharge
冠状动脉粥样硬化	冠状动脉粥样硬化	原始名称	18	discharge
皮下继发恶性肿瘤	皮下继发恶性肿瘤	原始名称	18	admission,discharge
结肠继发恶性肿瘤	结肠继发恶性肿瘤	原始名称	18	admission,discharge
肠炎	肠炎	原始名称	18	admission,discharge
胆囊息肉	胆囊息肉	原始名称	18	admission,discharge
膀胱继发恶性肿瘤	膀胱继发恶性肿瘤	原始名称	18	admission,discharge
药物性股骨头坏死	药物性股骨头坏死	原始名称	18	discharge
中耳炎	中耳炎	原始名称	17	admission,discharge
反流性胃炎	反流性胃炎	原始名称	17	admission,discharge
左束支传导阻滞	左束支传导阻滞	原始名称	17	admission,discharge
慢性粒单核细胞性白血病	慢性粒单核细胞白血病	同义词映射	17	admission,discharge
支原体感染	支原体感染	原始名称	17	admission,discharge
真性红细胞增多症	真性红细胞增多症	原始名称	17	admission,discharge
肝硬化伴食管胃底静脉曲张	肝硬化伴食管胃底静脉曲张	原始名称	17	admission,discharge
肝肾功能衰竭	肝肾功能衰竭	原始名称	17	admission,discharge
肝肿物	肝占位性病变	同义词映射	17	admission,discharge
肿瘤化疗个人史	肿瘤化疗个人史	原始名称	17	admission,discharge
胸椎骨折	胸椎骨折	原始名称	17	admission,discharge
脊髓灰质炎的后遗症	脊髓灰质炎后遗症	同义词映射	17	discharge
脓毒血症	脓毒症	同义词映射	17	discharge
腹腔感染	腹腔感染	原始名称	17	admission,discharge
软组织恶性肿瘤	软组织恶性肿瘤	原始名称	17	admission,discharge
Ⅰ度房室传导阻滞	Ⅰ度房室传导阻滞	原始名称	16	admission,discharge
下肢恶性肿瘤	下肢恶性肿瘤	原始名称	16	admission,discharge
冠状动脉性心脏病	冠状动脉粥样硬化性心脏病	同义词映射	16	admission,discharge
慢性前列腺炎	慢性前列腺炎	原始名称	16	discharge
纵隔肿瘤	纵隔肿瘤	原始名称	16	admission,discharge
肌肉继发恶性肿瘤	肌肉继发恶性肿瘤	原始名称	16	admission,discharge
肾损伤	肾损伤	原始名称	16	admission,discharge
胰腺继发恶性肿瘤	胰腺继发恶性肿瘤	原始名称	16	admission,discharge
衣原体感染	衣原体感染	原始名称	16	admission,discharge
高尿酸血症	高尿酸血症	原始名称	16	admission,discharge
高血压1级	高血压1级	原始名称	16	discharge
高血压病2级(极高危)	高血压2级	同义词映射	16	admission,discharge
鼻咽原位癌	鼻咽原位癌	原始名称	16	admission,discharge
T淋巴母细胞白血病/淋巴瘤	T淋巴母细胞白血病/淋巴瘤	原始名称	15	admission,discharge
不完全性肠梗阻	不完全性肠梗阻	原始名称	15	admission,discharge
休克	休克	原始名称	15	admission,discharge
口腔恶性肿瘤	口腔恶性肿瘤	原始名称	15	admission,discharge
口腔感染	口腔感染	原始名称	15	admission,discharge
子宫腺肌病	子宫腺肌病	原始名称	15	admission,discharge
心功能Ⅱ级	心功能Ⅱ级	原始名称	15	admission,discharge
慢性阻塞性肺疾病III级	慢性阻塞性肺疾病	同义词映射	15	discharge
放射性肠炎	放射性肠炎	原始名称	15	admission,discharge
肝性脑病	肝性脑病	原始名称	15	admission,discharge
胰管扩张	胰管扩张	原始名称	15	admission,discharge
胸椎继发恶性肿瘤	胸椎继发恶性肿瘤	原始名称	15	admission,discharge
胸腺恶性肿瘤	胸腺恶性肿瘤	原始名称	15	admission,discharge
血小板减少性紫癜	血小板减少性紫癜	原始名称	15	admission,discharge
血小板增多	血小板增多	原始名称	15	admission,discharge
鼻出血	鼻出血	原始名称	15	admission,discharge
T-细胞淋巴瘤	T细胞淋巴瘤	同义词映射	14	admission,discharge
乙肝后肝硬化	乙型肝炎肝硬化	同义词映射	14	admission,discharge
咯血	咯血	原始名称	14	discharge
急性单核细胞白血病	急性单核细胞白血病	原始名称	14	admission,discharge
慢性粒细胞性白血病，急淋变	慢性粒细胞白血病	同义词映射	14	admission,discharge
慢性胆囊炎	慢性胆囊炎	原始名称	14	admission,discharge
放射性食管炎	放射性食管炎	原始名称	14	discharge
烟雾病	烟雾病	原始名称	14	admission,discharge
眼恶性肿瘤	眼恶性肿瘤	原始名称	14	admission,discharge
系统性红斑狼疮	系统性红斑狼疮	原始名称	14	admission,discharge
继发性骨髓纤维化	继发性骨髓纤维化	原始名称	14	admission,discharge
肋骨继发恶性肿瘤	肋骨继发恶性肿瘤	原始名称	14	admission,discharge
肝内胆管癌	肝内胆管癌	原始名称	14	admission,discharge
肠道恶性肿瘤	肠道恶性肿瘤	原始名称	14	admission,discharge
肾积水伴肾结石	肾积水伴肾结石	原始名称	14	admission,discharge
脂肪瘤	脂肪瘤	原始名称	14	admission,discharge
腹膜后淋巴结继发恶性肿瘤	腹膜后淋巴结继发恶性肿瘤	原始名称	14	admission,discharge
锁骨骨折	锁骨骨折	原始名称	14	admission,discharge
阴囊继发恶性肿瘤	阴囊继发恶性肿瘤	原始名称	14	admission,discharge
EB病毒感染	EB病毒感染	原始名称	13	admission,discharge
下肢血栓性静脉炎	血栓性静脉炎	同义词映射	13	admission,discharge
下颌恶性肿瘤	下颌恶性肿瘤	原始名称	13	admission,discharge
低氯血症	低氯血症	原始名称	13	admission,discharge
免疫球蛋白缺乏	免疫球蛋白缺乏	原始名称	13	admission,discharge
冠状动脉支架植入后状态	冠状动脉支架植入术后状态	同义词映射	13	admission,discharge
口腔肿瘤	口腔肿瘤	原始名称	13	admission,discharge
慢性粒单核细胞白血病	慢性粒单核细胞白血病	原始名称	13	admission,discharge
慢性结肠炎	慢性结肠炎	原始名称	13	admission,discharge
慢性食管炎	食管炎	同义词映射	13	discharge
放疗后骨髓抑制	放疗后骨髓抑制	原始名称	13	discharge
症状性癫痫[继发性癫痫]	症状性癫痫	基础规范化	13	admission,discharge
直肠占位性病变	直肠占位性病变	原始名称	13	admission,discharge
精神病个人史	精神病个人史	原始名称	13	discharge
结肠占位性病变	结肠占位性病变	原始名称	13	admission,discharge
脑内出血	脑出血	同义词映射	13	admission,discharge
门静脉高压	门静脉高压	原始名称	13	admission,discharge
阴道继发恶性肿瘤	阴道继发恶性肿瘤	原始名称	13	admission,discharge
下腔静脉血栓形成	下腔静脉血栓形成	原始名称	12	admission,discharge
下颌骨恶性肿瘤	下颌骨恶性肿瘤	原始名称	12	admission,discharge
