原始名称	标准名称	映射规则	频次	来源
女性盆腔炎性疾病，其他特指的	盆腔炎性疾病	同义词映射	1	discharge
妊娠合并高血压病	妊娠合并高血压	同义词映射	1	discharge
子宫内膜原位癌	子宫内膜原位癌	原始名称	1	discharge
子宫内膜囊肿	子宫内膜囊肿	原始名称	1	discharge
子宫内膜息肉	子宫内膜息肉	原始名称	1	discharge
子宫内膜样腺瘤	子宫内膜样腺瘤	原始名称	1	admission
子宫肿瘤	子宫肿瘤	原始名称	1	discharge
宫颈切除术后状态	宫颈切除术后状态	原始名称	1	discharge
宫颈炎性疾病	宫颈炎	同义词映射	1	admission
宫颈肥大	宫颈肥大	原始名称	1	discharge
宫颈褥疮性溃疡	宫颈溃疡	同义词映射	1	discharge
小细胞癌	小细胞癌	原始名称	1	admission
小脑出血	脑出血	同义词映射	1	discharge
小脑梗死	脑梗死	同义词映射	1	discharge
小脑角脂肪瘤	小脑角脂肪瘤	原始名称	1	discharge
少尿	少尿	原始名称	1	discharge
尖锐湿疣	尖锐湿疣	原始名称	1	discharge
尿急	尿急	原始名称	1	discharge
尿血	血尿	同义词映射	1	admission
尿频	尿频	原始名称	1	discharge
左后分支传导阻滞	左后分支传导阻滞	原始名称	1	admission
巨幼红细胞性贫血	巨幼细胞性贫血	同义词映射	1	discharge
布-加综合征[budd-chiari综合征]	布-加综合征	基础规范化	1	discharge
干燥综合征性中枢神经损害(？)	干燥综合征性中枢神经损害	基础规范化	1	admission
应激性溃疡伴出血	应激性溃疡伴出血	原始名称	1	discharge
应激性胃溃疡	应激性溃疡	同义词映射	1	discharge
异常子宫出血	异常子宫出血	原始名称	1	admission
异常的子宫和阴道出血	异常子宫出血	同义词映射	1	admission
弥漫性非霍奇金淋巴瘤	弥漫性非霍奇金淋巴瘤	原始名称	1	discharge
心力衰竭 心功能IV级(NYHA分级)	心力衰竭心功能IV级	基础规范化	1	admission
心功能IV级(NYHA分级)	心功能IV级	基础规范化	1	discharge
心律失常 Ⅰ度房室传导阻滞	心律失常Ⅰ度房室传导阻滞	基础规范化	1	admission
心律失常 窦性心动过缓 完全性左束支传导阻滞	心律失常窦性心动过缓完全性左束支传导阻滞	基础规范化	1	admission
心律失常(房性早搏 窦性心动过)	心律失常	基础规范化	1	admission
心律失常(窦性心动过缓)	心律失常	基础规范化	1	admission
心源性休克	心源性休克	原始名称	1	discharge
心脏术后	心脏术后	原始名称	1	discharge
心脏继发恶性肿瘤	心脏继发恶性肿瘤	原始名称	1	discharge
急性B淋巴细胞白血病	急性B淋巴细胞白血病	原始名称	1	admission
急性前列腺炎	急性前列腺炎	原始名称	1	discharge
急性化脓性中耳炎	急性化脓性中耳炎	原始名称	1	discharge
急性化脓性阑尾炎	急性化脓性阑尾炎	原始名称	1	discharge
急性双系白血病	急性双系白血病	原始名称	1	discharge
急性呼吸衰竭	急性呼吸衰竭	原始名称	1	discharge
急性失血性贫血	急性失血性贫血	原始名称	1	discharge
急性支气管炎	急性支气管炎	原始名称	1	discharge
急性早幼粒细胞性白血病，完全缓解	急性早幼粒细胞白血病	同义词映射	1	discharge
急性早幼粒细胞白血病(M3型)	急性早幼粒细胞白血病	基础规范化	1	discharge
急性淋巴细胞性白血病	急性淋巴细胞白血病	同义词映射	1	discharge
急性淋巴结炎	急性淋巴结炎	原始名称	1	discharge
急性白血病髓外复发	急性白血病复发	同义词映射	1	discharge
急性粒细胞性白血病	急性髓系白血病	同义词映射	1	discharge
急性糜烂性胃炎	急性糜烂性胃炎	原始名称	1	discharge
急性重症胰腺炎	急性重症胰腺炎	原始名称	1	discharge
急性颈部淋巴结炎	急性颈部淋巴结炎	原始名称	1	discharge
急性颈部淋巴结炎(高度怀疑)	急性颈部淋巴结炎	基础规范化	1	admission
恶性肿瘤免疫治疗后的随诊检查	恶性肿瘤治疗后随诊	治疗状态归一	1	discharge
恶性肿瘤化学治疗后的随诊检查	恶性肿瘤治疗后随诊	治疗状态归一	1	discharge
恶性肿瘤放射治疗后的随诊检查	恶性肿瘤治疗后随诊	治疗状态归一	1	discharge
恶性肿瘤术前化疗	恶性肿瘤术前化疗	原始名称	1	discharge
恶性肿瘤术后靶向治疗	恶性肿瘤靶向治疗	同义词映射	1	discharge
恶性肿瘤终末期治疗	恶性肿瘤终末期	治疗状态归一	1	admission
恶性胸腺瘤	胸腺瘤	同义词映射	1	admission
意识模糊	意识障碍	同义词映射	1	discharge
意识错乱	意识障碍	同义词映射	1	admission
慢性中耳炎	慢性中耳炎	原始名称	1	discharge
慢性再生障碍性贫血	慢性再生障碍性贫血	原始名称	1	discharge
慢性呼吸衰竭(II型呼吸衰竭)	慢性呼吸衰竭	基础规范化	1	discharge
慢性失血性贫血	慢性失血性贫血	原始名称	1	discharge
慢性女性盆腔炎	盆腔炎	同义词映射	1	discharge
慢性气管支气管炎	慢性支气管炎	同义词映射	1	discharge
慢性浅表性胃炎(伴糜烂)	慢性胃炎	同义词映射	1	admission
慢性牙周炎	慢性牙周炎	原始名称	1	discharge
慢性粒细胞性白血病伴缓解(急淋变)	慢性粒细胞性白血病伴缓解	基础规范化	1	discharge
慢性粒细胞白血病t(9:22)(q34；q11)	慢性粒细胞白血病t	基础规范化	1	discharge
慢性肝衰竭	慢性肝衰竭	原始名称	1	discharge
慢性肾炎	慢性肾炎	原始名称	1	discharge
慢性肾脏病5期	慢性肾脏病5期	原始名称	1	discharge
慢性肾衰竭	慢性肾衰竭	原始名称	1	discharge
慢性阻塞性肺疾病	慢性阻塞性肺疾病	原始名称	1	admission
慢性阻塞性肺疾病IV级	慢性阻塞性肺疾病	同义词映射	1	discharge
慢性顽固性疼痛	慢性疼痛	同义词映射	1	discharge
慢性骨髓增殖性疾病(不能分型)	慢性骨髓增殖性疾病	基础规范化	1	admission
截瘫[双下肢瘫痪]	截瘫	基础规范化	1	discharge
扁桃体恶性肿瘤	扁桃体恶性肿瘤	原始名称	1	admission
扁桃体炎	扁桃体炎	原始名称	1	discharge
手术后切口愈合不良	手术后切口愈合不良	原始名称	1	discharge
手术后切口感染	手术后切口感染	原始名称	1	discharge
拇指不全切断	拇指离断伤	同义词映射	1	discharge
操作后伤口积液	操作后伤口积液	原始名称	1	discharge
支气管和肺原位癌	支气管和肺原位癌	原始名称	1	discharge
放射治疗史	放射治疗史	原始名称	1	discharge
新生儿幽门痉挛	新生儿幽门痉挛	原始名称	1	discharge
月经紊乱	月经紊乱	原始名称	1	discharge
桥本甲状腺毒症	桥本甲状腺炎	同义词映射	1	discharge
椎管内肿物	椎管内占位性病变	同义词映射	1	discharge
残胃出血	残胃出血	原始名称	1	discharge
毛囊炎	毛囊炎	原始名称	1	discharge
气管狭窄	气管狭窄	原始名称	1	admission
气管继发恶性肿瘤	气管继发恶性肿瘤	原始名称	1	admission
气胸(左肺)	气胸	基础规范化	1	admission
泌尿系统疾患	泌尿系统疾患	原始名称	1	discharge
流行性感冒	流行性感冒	原始名称	1	discharge
浸润型肺结核，未做细菌学和组织学检查	浸润型肺结核	基础规范化	1	discharge
浸润性导管癌	乳腺浸润性导管癌	同义词映射	1	discharge
消化不良	消化不良	原始名称	1	discharge
淋巴回流障碍	淋巴回流障碍	原始名称	1	discharge
淋巴浆细胞淋巴瘤	淋巴浆细胞淋巴瘤	原始名称	1	discharge
淋巴瘤(？)	淋巴瘤	基础规范化	1	admission
淋巴结病	淋巴结病	原始名称	1	admission
淋巴肉瘤	淋巴肉瘤	原始名称	1	discharge
滑膜炎	滑膜炎	原始名称	1	discharge
牙痛	牙痛	原始名称	1	discharge
牙龈血肿	牙龈血肿	原始名称	1	discharge
甲状腺良性肿瘤	甲状腺良性肿瘤	原始名称	1	discharge
甲癣	甲癣	原始名称	1	discharge
电解质紊乱(低钾血症 低钠血症)	电解质紊乱	基础规范化	1	admission
畸胎瘤	畸胎瘤	原始名称	1	discharge
疱疹病毒感染	疱疹病毒感染	原始名称	1	discharge
病毒性感染	病毒感染	同义词映射	1	discharge
病理性骨折，不可归类在他处者	病理性骨折	同义词映射	1	discharge
痛风	痛风	原始名称	1	discharge
癌性淋巴管炎	癌性淋巴管炎	原始名称	1	discharge
癫痫小发作[典型失神发作]	癫痫小发作	基础规范化	1	discharge
癫痫样发作	癫痫样发作	原始名称	1	admission
白内障术后(大泡性无晶状体的)角膜病变	白内障术后角膜病变	基础规范化	1	discharge
白内障术后玻璃体综合征	白内障术后玻璃体综合征	原始名称	1	discharge
白细胞分类计数异常	白细胞异常	同义词映射	1	admission
白细胞异常	白细胞异常	原始名称	1	discharge
皮肤感染性窦道	皮肤感染性窦道	原始名称	1	discharge
皮肤纤维肉瘤	皮肤纤维肉瘤	原始名称	1	admission
直肠乙状结肠炎	直肠乙状结肠炎	原始名称	1	discharge
直肠膀胱阴道瘘	直肠膀胱阴道瘘	原始名称	1	discharge
眼睑水肿	眼睑水肿	原始名称	1	discharge
睾丸炎	睾丸炎	原始名称	1	discharge
神经痛	神经痛	原始名称	1	discharge
神经胶质瘤	神经胶质瘤	原始名称	1	admission
神经节细胞瘤	神经节细胞瘤	原始名称	1	admission
窦性静止	窦性静止	原始名称	1	admission
精索鞘膜积液	精索鞘膜积液	原始名称	1	discharge
糖尿病性酮症	糖尿病酮症	同义词映射	1	discharge
紫癜	紫癜	原始名称	1	admission
细菌性感染	细菌感染	同义词映射	1	discharge
细菌性阴道炎	细菌性阴道炎	原始名称	1	discharge
结外NK/T细胞淋巴瘤(鼻型)	结外NK/T细胞淋巴瘤	基础规范化	1	discharge
结核性胸膜炎	结核性胸膜炎	原始名称	1	discharge
结缔组织恶性肿瘤	结缔组织恶性肿瘤	原始名称	1	discharge
结缔组织炎	结缔组织炎	原始名称	1	discharge
结肠吻合口炎	结肠吻合口炎	原始名称	1	discharge
结肠息肉(EMR+APC+内镜)	结肠息肉	基础规范化	1	admission
结肠积气	结肠积气	原始名称	1	discharge
结膜炎	结膜炎	原始名称	1	discharge
继发性干燥综合征	干燥综合征	同义词映射	1	discharge
继发性肺结核	继发性肺结核	原始名称	1	discharge
继发性血小板减少	继发性血小板减少	原始名称	1	discharge
继发性血小板增多症	继发性血小板增多症	原始名称	1	discharge
维生素B12缺乏症	维生素B12缺乏	同义词映射	1	discharge
缺血性心脏病	冠状动脉粥样硬化性心脏病	同义词映射	1	discharge
耐多种抗生素的菌株	多重耐药菌感染	同义词映射	1	discharge
耳聋	耳聋	原始名称	1	admission
耳部肿物	耳部占位性病变	同义词映射	1	discharge
耳鸣	耳鸣	原始名称	1	discharge
聋哑症	聋哑症	原始名称	1	discharge
肋骨多处骨折	肋骨骨折	同义词映射	1	discharge
肋骨恶性肿瘤	肋骨恶性肿瘤	原始名称	1	discharge
肋骨肿瘤	肋骨肿瘤	原始名称	1	admission
肌张力障碍	肌张力障碍	原始名称	1	discharge
肌腱损伤	肌腱损伤	原始名称	1	discharge
肛门周围溃疡	肛门周围溃疡	原始名称	1	discharge
肛门直肠瘘	肛门直肠瘘	原始名称	1	discharge
肝内及肝外胆管恶性肿瘤	胆道恶性肿瘤	同义词映射	1	discharge
肝功能异常	肝功能异常	原始名称	1	admission
肝功能检查的异常结果	肝功能异常	同义词映射	1	discharge
肝囊性病	肝囊性病	原始名称	1	discharge
肝外胆管恶性肿瘤	肝外胆管恶性肿瘤	原始名称	1	discharge
肝性胸水	肝性胸水	原始名称	1	admission
肝硬化伴胃底静脉曲张	肝硬化伴食管胃底静脉曲张	同义词映射	1	discharge
肝硬化伴胃底静脉曲张破裂出血	食管胃底静脉曲张破裂出血	同义词映射	1	discharge
肝硬化伴食管静脉曲张破裂出血	食管胃底静脉曲张破裂出血	同义词映射	1	admission
肝结节	肝结节	原始名称	1	discharge
肝继发恶性肿瘤(？)	肝继发恶性肿瘤	基础规范化	1	admission
肝门淋巴结肿大	肝门淋巴结肿大	原始名称	1	discharge
肠坏死	肠坏死	原始名称	1	discharge
肠梗阻(？)	肠梗阻	基础规范化	1	admission
肠破裂	肠破裂	原始名称	1	discharge
肠系膜动脉栓塞伴肠坏死	肠系膜动脉栓塞伴肠坏死	原始名称	1	discharge
股静脉血栓形成	股静脉血栓形成	原始名称	1	discharge
股骨头无菌性坏死	股骨头缺血性坏死	同义词映射	1	discharge
股骨转子间骨折	股骨转子间骨折	原始名称	1	discharge
肩周炎	肩周炎	原始名称	1	discharge
肩胛骨恶性肿瘤	肩胛骨恶性肿瘤	原始名称	1	discharge
肱骨破坏	肱骨破坏	原始名称	1	discharge
肺不张(左肺)	肺不张	基础规范化	1	admission
肺大泡	肺大疱	基础规范化	1	admission
肺恶性肿瘤(高度可疑)	肺恶性肿瘤	基础规范化	1	admission
肺脓肿不伴有肺炎	肺脓肿	同义词映射	1	discharge
肾上腺囊肿	肾上腺囊肿	原始名称	1	discharge
肾上腺增生	肾上腺增生	原始名称	1	discharge
肾上腺增粗	肾上腺增生	同义词映射	1	discharge
肾上腺炎	肾上腺炎	原始名称	1	discharge
肾上腺皮质腺癌	肾上腺皮质癌	同义词映射	1	admission
肾占位性病变(？)	肾占位性病变	基础规范化	1	admission
肾盂囊肿	肾盂囊肿	原始名称	1	discharge
肾盂继发恶性肿瘤	肾盂继发恶性肿瘤	原始名称	1	discharge
肾结石伴有输尿管结石	肾结石伴输尿管结石	同义词映射	1	discharge
肾肥大	肾肥大	原始名称	1	discharge
肿瘤内分泌治疗	恶性肿瘤内分泌治疗	同义词映射	1	discharge
胃底静脉曲张伴出血	食管胃底静脉曲张破裂出血	同义词映射	1	discharge
胃痛	胃痛	原始名称	1	admission
胃癌伴出血	胃恶性肿瘤	同义词映射	1	discharge
胃肠吻合口狭窄	胃肠吻合口狭窄	原始名称	1	discharge
胃肠道继发恶性肿瘤	胃肠道继发恶性肿瘤	原始名称	1	discharge
胃胀气	胃胀气	原始名称	1	discharge
胃造口维护	胃造口状态	同义词映射	1	discharge
胃错构瘤	胃错构瘤	原始名称	1	discharge
胆囊内胆汁淤积	胆汁淤积症	同义词映射	1	admission
胆囊结石不伴有胆囊炎	胆囊结石	同义词映射	1	discharge
胆囊肥大	胆囊肥大	原始名称	1	discharge
胆囊肿物	胆囊占位性病变	同义词映射	1	discharge
胆囊肿瘤	胆囊肿瘤	原始名称	1	discharge
胆总管梗阻	胆总管梗阻	原始名称	1	discharge
胰源性腹泻	胰源性腹泻	原始名称	1	discharge
胰腺原位癌	胰腺原位癌	原始名称	1	admission
胰腺坏死	胰腺坏死	原始名称	1	discharge
胰腺萎缩	胰腺萎缩	原始名称	1	discharge
胸内淋巴结继发恶性肿瘤	胸内淋巴结继发恶性肿瘤	原始名称	1	admission
胸椎压缩性骨折	胸椎压缩性骨折	原始名称	1	discharge
胸腔继发恶性肿瘤	胸腔继发恶性肿瘤	原始名称	1	discharge
胸腺瘤	胸腺瘤	原始名称	1	admission
胸部损伤	胸部损伤	原始名称	1	discharge
胸闷	胸闷	原始名称	1	discharge
胸骨恶性肿瘤	胸骨恶性肿瘤	原始名称	1	discharge
脉络膜恶性肿瘤	脉络膜恶性肿瘤	原始名称	1	discharge
脊柱肿瘤	脊柱肿瘤	原始名称	1	discharge
脐部感染	脐部感染	原始名称	1	discharge
脑内出血后遗症	脑内出血后遗症	原始名称	1	discharge
脑出血恢复期	脑出血恢复期	原始名称	1	discharge
脑坏死	脑坏死	原始名称	1	discharge
脑血管疾病，其他特指的	脑血管疾病	基础规范化	1	discharge
脑软化灶	脑软化灶	原始名称	1	discharge
脾术后	脾术后	原始名称	1	discharge
脾静脉栓塞	脾静脉血栓形成	同义词映射	1	discharge
腋脓肿	腋脓肿	原始名称	1	discharge
腮腺区肿物	腮腺区占位性病变	同义词映射	1	discharge
腰椎恶性肿瘤	腰椎恶性肿瘤	原始名称	1	discharge
腰背肌筋膜炎	腰背肌筋膜炎	原始名称	1	discharge
腹主动脉瘤，未提及破裂	腹主动脉瘤	同义词映射	1	discharge
腹内淋巴结继发恶性肿瘤	腹腔淋巴结继发恶性肿瘤	同义词映射	1	discharge
腹壁开放性伤口	腹壁开放性伤口	原始名称	1	discharge
腹股沟斜疝	腹股沟斜疝	原始名称	1	discharge
腹股沟术后	腹股沟术后	原始名称	1	discharge
腹股沟直疝	腹股沟直疝	原始名称	1	discharge
腹股沟肿物	腹股沟占位性病变	同义词映射	1	admission
腹腔囊肿	腹腔囊肿	原始名称	1	discharge
腹腔感染(全身炎症反应综合征)	腹腔感染	基础规范化	1	admission
腹腔积血	腹腔积血	原始名称	1	discharge
腹膜后腔恶性肿瘤	腹膜后腔恶性肿瘤	原始名称	1	discharge
腹膜恶性肿瘤	腹膜恶性肿瘤	原始名称	1	discharge
腹膜肿瘤	腹膜肿瘤	原始名称	1	discharge
膀胱小肠瘘	膀胱小肠瘘	原始名称	1	discharge
膀胱憩室	膀胱憩室	原始名称	1	discharge
膀胱阴道瘘	膀胱阴道瘘	原始名称	1	discharge
膈淋巴结继发恶性肿瘤	膈淋巴结继发恶性肿瘤	原始名称	1	discharge
膜性肾病	膜性肾病	原始名称	1	discharge
膝关节损伤	膝关节损伤	原始名称	1	discharge
膝关节骨髓炎	膝关节骨髓炎	原始名称	1	discharge
臀部肿物	臀部占位性病变	同义词映射	1	discharge
自体造血干细胞移植状态	自体造血干细胞移植状态	原始名称	1	discharge
自发性气胸	自发性气胸	原始名称	1	discharge
自发性腹膜炎	自发性腹膜炎	原始名称	1	discharge
良性阵发性位置性眩晕	良性阵发性位置性眩晕	原始名称	1	discharge
药物性周围神经病	药物性周围神经病	原始名称	1	discharge
药物性肝炎	药物性肝炎	原始名称	1	discharge
药物性胃炎	药物性胃炎	原始名称	1	discharge
药物流产术后	药物流产术后	原始名称	1	discharge
获得性联合免疫缺陷	获得性联合免疫缺陷	原始名称	1	discharge
获得性肾囊肿	肾囊肿	同义词映射	1	discharge
葡萄胎术后	葡萄胎术后	原始名称	1	admission
蛛网膜下腔出血治疗后随诊检查	蛛网膜下腔出血治疗后随诊	同义词映射	1	discharge
血小板功能不全	血小板功能不全	原始名称	1	discharge
血性腹水	血性腹水	原始名称	1	discharge
贲门溃疡	贲门溃疡	原始名称	1	discharge
躯干肿物	躯干占位性病变	同义词映射	1	admission
转移性肿瘤	转移性肿瘤	原始名称	1	admission
转移性肿瘤(乙状结肠)	转移性肿瘤	基础规范化	1	admission
软骨良性肿瘤	软骨良性肿瘤	原始名称	1	admission
轻度营养不良	营养不良	同义词映射	1	discharge
输卵管绝育	输卵管绝育	原始名称	1	discharge
输液港取出	输液港取出术后	同义词映射	1	discharge
过敏性紫癜性肾炎	过敏性紫癜性肾炎	原始名称	1	discharge
造血干细胞移植状态	造血干细胞移植状态	原始名称	1	discharge
锁骨上淋巴结肿大	锁骨上淋巴结肿大	原始名称	1	discharge
锁骨下淋巴结继发恶性肿瘤	锁骨下淋巴结继发恶性肿瘤	原始名称	1	discharge
锁骨继发恶性肿瘤	锁骨继发恶性肿瘤	原始名称	1	discharge
门脉高压性胃病	门脉高压性胃病	原始名称	1	discharge
门静脉血栓形成	门静脉血栓形成	原始名称	1	discharge
门静脉高压(TIPS术后)	门静脉高压	基础规范化	1	admission
闭合性颅脑损伤轻型	闭合性颅脑损伤	同义词映射	1	discharge
阴道前后壁脱垂	阴道前后壁脱垂	原始名称	1	discharge
阴道溃疡	阴道溃疡	原始名称	1	discharge
阵发性夜间血红蛋白尿［马尔基亚法瓦-米凯利］	阵发性睡眠性血红蛋白尿	同义词映射	1	discharge
阵发性室性心动过速	阵发性室性心动过速	原始名称	1	discharge
阿尔茨海默病	阿尔茨海默病	原始名称	1	discharge
附件肿物	附件占位性病变	同义词映射	1	discharge
陈旧性前壁心肌梗死	陈旧性心肌梗死	同义词映射	1	discharge
陈旧性股骨骨折	股骨骨折	同义词映射	1	discharge
陈旧性脑出血	陈旧性脑出血	原始名称	1	discharge
陈旧性腰椎骨折	陈旧性腰椎骨折	原始名称	1	discharge
难治性抑郁症	难治性抑郁症	原始名称	1	discharge
霍奇金淋巴瘤	霍奇金淋巴瘤	原始名称	1	discharge
静脉曲张术后	静脉曲张术后	原始名称	1	discharge
面部软组织挫伤	面部软组织挫伤	原始名称	1	discharge
顶枕叶脑出血	脑出血	同义词映射	1	discharge
颈椎椎管狭窄	颈椎椎管狭窄	原始名称	1	discharge
颈淋巴瘤(？)	颈淋巴瘤	基础规范化	1	admission
颈淋巴结炎	颈部淋巴结炎	同义词映射	1	discharge
颈部淋巴水肿	颈部淋巴水肿	原始名称	1	discharge
颌下淋巴结继发恶性肿瘤	颌下淋巴结继发恶性肿瘤	原始名称	1	discharge
频发性房性期前收缩	频发性房性期前收缩	原始名称	1	discharge
额顶叶脑出血	脑出血	同义词映射	1	admission
风湿病	风湿病	原始名称	1	discharge
食管原位癌	食管原位癌	原始名称	1	discharge
食管息肉	食管息肉	原始名称	1	discharge
食管恶性肿瘤(？)	食管恶性肿瘤	基础规范化	1	admission
食管纵隔瘘	食管纵隔瘘	原始名称	1	discharge
食管继发恶性肿瘤	食管继发恶性肿瘤	原始名称	1	discharge
食管胸腔瘘	食管胸腔瘘	原始名称	1	discharge
骨内高分化骨肉瘤	骨肉瘤	同义词映射	1	admission
骨和骨髓继发性恶性肿瘤	骨和骨髓继发恶性肿瘤	同义词映射	1	discharge
骨结核	骨结核	原始名称	1	discharge
骨质增生	骨质增生	原始名称	1	discharge
骨质疏松症	骨质疏松	同义词映射	1	admission
骨软骨瘤(术后复发)	骨软骨瘤	基础规范化	1	admission
骨髓抑制性贫血	骨髓抑制性贫血	原始名称	1	discharge
骨髓炎	骨髓炎	原始名称	1	discharge
骨髓移植排斥	骨髓移植排斥反应	同义词映射	1	admission
骨髓纤维化伴髓样化生	骨髓纤维化	同义词映射	1	discharge
骶骨恶性肿瘤	骶骨恶性肿瘤	原始名称	1	discharge
骶骨骨折	骶骨骨折	原始名称	1	discharge
髋关节痛	髋关节痛	原始名称	1	admission
髋关节积液	髋关节积液	原始名称	1	discharge
髋部肿物	髋部占位性病变	同义词映射	1	admission
髓样肉瘤	髓样肉瘤	原始名称	1	discharge
高乳酸血症	高乳酸血症	原始名称	1	discharge
高同型半胱氨酸血症	高同型半胱氨酸血症	原始名称	1	admission
高甘油三酯血症	高甘油三酯血症	原始名称	1	discharge
高磷血症	高磷血症	原始名称	1	discharge
高血压脑出血	高血压性脑出血	同义词映射	1	discharge
黑色素痣	黑色素痣	原始名称	1	discharge
鼻损伤	鼻损伤	原始名称	1	discharge
鼻真菌病	鼻真菌病	原始名称	1	admission
鼻腔淋巴瘤	鼻腔淋巴瘤	原始名称	1	discharge
鼻骨骨折	鼻骨骨折	原始名称	1	discharge
