# 西医病症标准化列表（共 1347 条唯一标准病症）
# 格式：标准名称 | 总频次
霍奇金淋巴瘤 | 11
颈淋巴瘤 | 11
颈部淋巴结肿大 | 11
劳力性心绞痛 | 10
卵巢肿瘤 | 10
口腔占位性病变 | 10
复杂性尿路感染 | 10
子宫内膜样腺癌 | 10
子宫囊肿 | 10
心动过缓 | 10
急性骨髓纤维化 | 10
支气管肺炎 | 10
盆腔恶性肿瘤 | 10
股骨颈骨折 | 10
胃下垂 | 10
胰恶性肿瘤 | 10
胸部恶性肿瘤 | 10
脑出血个人史 | 10
脑梗死后遗症 | 10
脑胶质细胞增生 | 10
输尿管扩张 | 10
输尿管造口状态 | 10
阴茎恶性肿瘤 | 10
食管裂孔疝 | 10
丙型肝炎肝硬化 | 9
吞咽困难 | 9
小脑萎缩 | 9
平滑肌肉瘤 | 9
昏迷 | 9
束支传导阻滞 | 9
癫痫持续状态 | 9
盆腔淋巴结继发恶性肿瘤 | 9
股骨头缺血性坏死 | 9
股骨骨折 | 9
胃穿孔 | 9
胸膜肥厚 | 9
腮腺恶性肿瘤 | 9
腹壁占位性病变 | 9
荨麻疹 | 9
软组织感染 | 9
髋关节置换术后状态 | 9
鼻咽恶性肿瘤个人史 | 9
B细胞淋巴瘤 | 8
上颌骨恶性肿瘤 | 8
丙型肝炎病毒携带者 | 8
十二指肠球炎 | 8
大细胞髓母细胞瘤 | 8
头痛 | 8
子宫肿物 | 8
宫颈术后 | 8
急性胃肠炎 | 8
恶性肿瘤介入治疗 | 8
支原体肺炎 | 8
更年期综合征 | 8
枕骨恶性肿瘤 | 8
椎间盘突出 | 8
液气胸 | 8
白细胞增多 | 8
直肠乙状结肠交界处肿瘤 | 8
直肠炎 | 8
直肠继发恶性肿瘤 | 8
粒细胞缺乏 | 8
纵隔占位性病变 | 8
肝炎后肝硬化 | 8
肝门淋巴结继发恶性肿瘤 | 8
肠系膜继发恶性肿瘤 | 8
肾衰竭 | 8
肾静脉栓塞 | 8
胸腺肿瘤 | 8
脑血管病 | 8
腰椎继发恶性肿瘤 | 8
腹膜后淋巴结肿大 | 8
萎缩性胃炎 | 8
重型地中海贫血 | 8
颅内恶性肿瘤 | 8
颈椎继发恶性肿瘤 | 8
颈部恶性肿瘤 | 8
颊黏膜原位癌 | 8
鼻窦继发恶性肿瘤 | 8
I型呼吸衰竭 | 7
乳腺继发恶性肿瘤 | 7
冠状动脉旁路移植术后状态 | 7
凝血功能障碍 | 7
口腔溃疡 | 7
喉原位癌 | 7
地中海贫血 | 7
循环衰竭 | 7
急性早幼粒细胞白血病 | 7
感染性休克 | 7
慢性病毒性肝炎 | 7
气管憩室 | 7
淀粉样变肾损害 | 7
甲周炎 | 7
盆腔炎 | 7
直肠息肉 | 7
直肠术后 | 7
真菌性肺炎 | 7
纵膈肿瘤 | 7
肛周炎 | 7
肛周脓肿 | 7
肛瘘 | 7
肝大 | 7
肝细胞性黄疸 | 7
肝脓肿 | 7
肺动脉高压 | 7
肺栓塞 | 7
肺门淋巴结继发恶性肿瘤 | 7
胆囊术后 | 7
胆囊继发恶性肿瘤 | 7
脊髓损伤后遗症 | 7
腰椎病 | 7
腹股沟淋巴结肿大 | 7
自身免疫性肝炎 | 7
输卵管术后 | 7
重型β地中海贫血 | 7
锁骨下静脉血栓形成 | 7
阑尾恶性肿瘤 | 7
阵发性心房纤颤 | 7
陈旧性骨折 | 7
非小细胞癌 | 7
食管胃底静脉曲张 | 7
骨质疏松 | 7
骨髓增生异常综合征-难治性贫血伴原始细胞过多 | 7
骨髓继发恶性肿瘤 | 7
高胆红素血症 | 7
T细胞大颗粒淋巴细胞白血病 | 6
下肢深静脉血栓形成 | 6
主动脉瓣关闭不全 | 6
主动脉钙化 | 6
传染性单核细胞增多症 | 6
冠状动脉供血不足 | 6
副脾 | 6
卵巢占位性病变 | 6
口腔出血 | 6
