# 知识图谱疾病/病症列表 - 西医（共 1596 条）
# 格式：名称 | 来源 | 频次
冠状动脉支架植入后状态 | admission,discharge | 13
口腔肿瘤 | admission,discharge | 13
慢性粒单核细胞白血病 | admission,discharge | 13
慢性结肠炎 | admission,discharge | 13
慢性食管炎 | discharge | 13
放疗后骨髓抑制 | discharge | 13
症状性癫痫[继发性癫痫] | admission,discharge | 13
直肠占位性病变 | admission,discharge | 13
精神病个人史 | discharge | 13
结肠占位性病变 | admission,discharge | 13
脑内出血 | admission,discharge | 13
门静脉高压 | admission,discharge | 13
阴道继发恶性肿瘤 | admission,discharge | 13
下腔静脉血栓形成 | admission,discharge | 12
下颌骨恶性肿瘤 | admission,discharge | 12
中枢神经系统白血病 | admission,discharge | 12
乙型肝炎后肝硬化失代偿期 | admission,discharge | 12
乳头炎 | admission,discharge | 12
冠心病心律失常型 | discharge | 12
咳嗽变异性哮喘 | discharge | 12
多囊肾 | discharge | 12
心肌梗死 | admission,discharge | 12
恶性肿瘤化学治疗后恢复期 | admission,discharge | 12
截瘫 | admission,discharge | 12
拒尊医嘱并离院 | discharge | 12
牙龈恶性肿瘤 | admission,discharge | 12
病毒性肺炎 | admission,discharge | 12
白细胞增多症 | admission,discharge | 12
真菌感染 | admission,discharge | 12
纵隔淋巴结继发恶性肿瘤 | admission,discharge | 12
肝静脉血栓形成 | discharge | 12
肺脓肿伴有肺炎 | admission,discharge | 12
肾炎 | admission,discharge | 12
胆石症 | discharge | 12
腹腔淋巴瘤 | admission,discharge | 12
腹腔淋巴结继发恶性肿瘤 | admission,discharge | 12
输尿管继发恶性肿瘤 | admission,discharge | 12
颊部恶性肿瘤 | admission,discharge | 12
风湿性关节炎 | admission,discharge | 12
前庭大腺囊肿 | admission,discharge | 11
原发性血小板增多症 | admission,discharge | 11
哮喘 | discharge | 11
子宫腔积液 | admission,discharge | 11
小肠恶性肿瘤 | admission,discharge | 11
急性胰腺炎 | admission,discharge | 11
慢性粒细胞性白血病(急性变) | admission,discharge | 11
慢性粒细胞白血病(加速期) | admission,discharge | 11
眩晕 | admission,discharge | 11
结缔组织病 | discharge | 11
胃食管反流 | admission,discharge | 11
腮腺肿瘤 | admission,discharge | 11
腹泻 | admission,discharge | 11
腹膜后恶性肿瘤 | admission,discharge | 11
蝶窦炎 | admission,discharge | 11
门静脉瘤栓 | admission,discharge | 11
颈淋巴结肿大 | admission,discharge | 11
额部皮肤恶性肿瘤 | admission,discharge | 11
高血压病1级(高危) | admission,discharge | 11
高血压病2级(高危) | admission,discharge | 11
劳力性心绞痛 | admission,discharge | 10
十二指肠球部溃疡 | admission,discharge | 10
卵巢肿瘤 | discharge | 10
口腔肿物 | admission,discharge | 10
复杂性尿路感染 | admission,discharge | 10
子宫内膜样腺癌 | admission,discharge | 10
子宫囊肿 | discharge | 10
心动过缓 | admission,discharge | 10
急性骨髓纤维化 | admission,discharge | 10
手术后恶性肿瘤化学治疗 | discharge | 10
盆腔恶性肿瘤 | admission,discharge | 10
股骨颈骨折 | admission,discharge | 10
肺源性心脏病 | admission,discharge | 10
胃下垂 | discharge | 10
胰恶性肿瘤 | admission,discharge | 10
胸部恶性肿瘤 | admission,discharge | 10
脑出血个人史 | admission,discharge | 10
脑梗死后遗症 | admission,discharge | 10
脑胶质细胞增生 | admission,discharge | 10
营养不良 | admission,discharge | 10
贲门胃底恶性肿瘤 | admission,discharge | 10
足部恶性黑色素瘤 | admission,discharge | 10
输尿管扩张 | admission,discharge | 10
阴茎恶性肿瘤 | admission,discharge | 10
颈淋巴瘤 | admission,discharge | 10
食管裂孔疝 | admission,discharge | 10
丙型肝炎肝硬化 | admission,discharge | 9
乳腺恶性肿瘤，下部 | admission,discharge | 9
双侧腹股沟疝 | admission | 9
吞咽困难 | admission,discharge | 9
基底节脑梗死 | admission,discharge | 9
小脑萎缩 | discharge | 9
平滑肌肉瘤 | admission,discharge | 9
支气管肺炎 | admission,discharge | 9
束支传导阻滞 | admission,discharge | 9
癫痫持续状态 | admission,discharge | 9
盆腔淋巴结继发恶性肿瘤 | admission,discharge | 9
胃穿孔 | admission,discharge | 9
胸膜肥厚 | admission,discharge | 9
脑动脉狭窄 | admission,discharge | 9
腮腺恶性肿瘤 | admission,discharge | 9
腹壁肿物 | admission,discharge | 9
荨麻疹 | admission,discharge | 9
髋关节置换术后 | admission,discharge | 9
鼻咽恶性肿瘤个人史 | admission,discharge | 9
上颌骨恶性肿瘤 | admission,discharge | 8
丙型肝炎病毒携带者 | admission,discharge | 8
十二指肠球炎 | admission,discharge | 8
