standard_name	frequency	icd10_code	icd10_name	match_method	match_score
肌张力障碍	1	G24.903	肌张力障碍	精确匹配	100.0
肝外胆管恶性肿瘤	1	C24.005	肝外胆管恶性肿瘤	精确匹配	100.0
肝性胸水	1	K76.819	肝性胸水	精确匹配	100.0
肠坏死	1	K55.002	肠坏死	精确匹配	100.0
肠破裂	1	K63.102	肠破裂	精确匹配	100.0
肠系膜动脉栓塞伴肠坏死	1	K55.004	肠系膜动脉栓塞伴肠坏死	精确匹配	100.0
股静脉血栓形成	1	I80.101	股静脉血栓形成	精确匹配	100.0
肩胛骨恶性肿瘤	1	C40.002	肩胛骨恶性肿瘤	精确匹配	100.0
肾上腺囊肿	1	E27.801	肾上腺囊肿	精确匹配	100.0
肾上腺炎	1	E27.804	肾上腺炎	精确匹配	100.0
肾上腺皮质癌	1	C74.001	肾上腺皮质癌	精确匹配	100.0
肾盂囊肿	1	N28.819	肾盂囊肿	精确匹配	100.0
胃肠吻合口狭窄	1	K91.819	胃肠吻合口狭窄	精确匹配	100.0
胃肠道继发恶性肿瘤	1	C78.806	胃肠道继发恶性肿瘤	精确匹配	100.0
胆囊肥大	1	K82.803	胆囊肥大	精确匹配	100.0
胆总管梗阻	1	K83.105	胆总管梗阻	精确匹配	100.0
胰源性腹泻	1	K52.803	胰源性腹泻	精确匹配	100.0
胰腺萎缩	1	K86.814	胰腺萎缩	精确匹配	100.0
胸闷	1	R06.003	胸闷	精确匹配	100.0
胸骨恶性肿瘤	1	C41.303	胸骨恶性肿瘤	精确匹配	100.0
脉络膜恶性肿瘤	1	C69.301	脉络膜恶性肿瘤	精确匹配	100.0
脐部感染	1	L08.913	脐部感染	精确匹配	100.0
脑坏死	1	I67.803	脑坏死	精确匹配	100.0
腰椎恶性肿瘤	1	C41.204	腰椎恶性肿瘤	精确匹配	100.0
腹股沟直疝	1	K40.904	腹股沟直疝	精确匹配	100.0
腹腔积血	1	K66.102	腹腔积血	精确匹配	100.0
腹膜恶性肿瘤	1	C48.201	腹膜恶性肿瘤	精确匹配	100.0
膀胱憩室	1	N32.301	膀胱憩室	精确匹配	100.0
膜性肾病	1	N05.201	膜性肾病	精确匹配	100.0
膝关节损伤	1	S83.602	膝关节损伤	精确匹配	100.0
自发性气胸	1	J93.101	自发性气胸	精确匹配	100.0
自发性腹膜炎	1	K65.810	自发性腹膜炎	精确匹配	100.0
药物性周围神经病	1	G62.002	药物性周围神经病	精确匹配	100.0
药物性肝炎	1	K71.601	药物性肝炎	精确匹配	100.0
药物性胃炎	1	K29.605	药物性胃炎	精确匹配	100.0
血性腹水	1	R18  03	血性腹水	精确匹配	100.0
贲门溃疡	1	K22.102	贲门溃疡	精确匹配	100.0
过敏性紫癜性肾炎	1	D69.005+ N08.201*	过敏性紫癜性肾炎	精确匹配	100.0
阴道前后壁脱垂	1	N81.802	阴道前后壁脱垂	精确匹配	100.0
阴道溃疡	1	N76.501	阴道溃疡	精确匹配	100.0
阵发性室性心动过速	1	I47.204	阵发性室性心动过速	精确匹配	100.0
面部软组织挫伤	1	S00.802	面部软组织挫伤	精确匹配	100.0
颈部淋巴结炎	1	I88.905	颈部淋巴结炎	精确匹配	100.0
颌下淋巴结继发恶性肿瘤	1	C77.001	颌下淋巴结继发恶性肿瘤	精确匹配	100.0
风湿病	1	M79.091	风湿病	精确匹配	100.0
食管原位癌	1	D00.101	食管原位癌	精确匹配	100.0
食管息肉	1	K22.808	食管息肉	精确匹配	100.0
食管继发恶性肿瘤	1	C78.805	食管继发恶性肿瘤	精确匹配	100.0
骨结核	1	A18.035+ M90.091*	骨结核	精确匹配	100.0
骨质增生	1	M89.391	骨质增生	精确匹配	100.0
骨软骨瘤	1	M92100/0	骨软骨瘤	精确匹配	100.0
骨髓抑制性贫血	1	D61.902	骨髓抑制性贫血	精确匹配	100.0
骨髓炎	1	M86.993	骨髓炎	精确匹配	100.0
骨髓纤维化	1	D47.101	骨髓纤维化	精确匹配	100.0
骶骨恶性肿瘤	1	C41.402	骶骨恶性肿瘤	精确匹配	100.0
骶骨骨折	1	S32.101	骶骨骨折	精确匹配	100.0
髋关节痛	1	M25.551	髋关节痛	精确匹配	100.0
鼻损伤	1	S09.901	鼻损伤	精确匹配	100.0
鼻骨骨折	1	S02.201	鼻骨骨折	精确匹配	100.0
