standard_name	frequency	icd10_code	icd10_name	match_method	match_score
浆细胞骨髓瘤	3	C41.208	胸椎体浆细胞骨髓瘤	子串匹配	66.7
神经损伤	3	S04.001	视神经损伤	子串匹配	80.0
肝动脉栓塞	3	I74.901	动脉栓塞	子串匹配	80.0
胆道恶性肿瘤	3	M80000/3	恶性肿瘤	子串匹配	66.7
腰椎骨质增生	3	M89.391	骨质增生	子串匹配	66.7
颅骨继发恶性肿瘤	3	C79.501	骨继发恶性肿瘤	子串匹配	87.5
骶骨继发恶性肿瘤	3	C79.501	骨继发恶性肿瘤	子串匹配	87.5
Ⅱ度子宫脱垂	2	N81.103	子宫脱垂	子串匹配	66.7
Ⅲ度房室传导阻滞	2	I44.302	房室传导阻滞	子串匹配	75.0
上腔静脉血栓形成	2	I82.902	静脉血栓形成	子串匹配	75.0
下肢动脉粥样硬化	2	I70.203	下肢动脉粥样硬化闭塞症	子串匹配	72.7
丙型肝炎肝硬化失代偿期	2	K72.905	肝硬化失代偿期	子串匹配	63.6
乳腺良性肿瘤	2	M80000/0	良性肿瘤	子串匹配	66.7
半月板损伤	2	M23.291	陈旧性半月板损伤	子串匹配	62.5
外阴阴道恶性肿瘤	2	C52  01	阴道恶性肿瘤	子串匹配	75.0
头颈部淋巴结继发恶性肿瘤	2	C77.002	颈部淋巴结继发恶性肿瘤	子串匹配	91.7
子宫恶性肿瘤个人史	2	C55  01	子宫恶性肿瘤	子串匹配	66.7
宫颈原位癌	2	D06.901	子宫颈原位癌	子串匹配	83.3
尿道出血	2	N36.804	泌尿道出血	子串匹配	80.0
急性颈部淋巴结炎	2	I88.905	颈部淋巴结炎	子串匹配	75.0
慢性乙型丁型病毒性肝炎	2	B17.805	丁型病毒性肝炎	子串匹配	63.6
淋巴细胞白血病	2	M98210/6	转移性淋巴细胞白血病	子串匹配	70.0
焦虑抑郁状态	2	F32.903	抑郁状态	子串匹配	66.7
皮脂腺囊肿	2	H02.811	眼睑皮脂腺囊肿	子串匹配	71.4
糖尿病性视网膜病变	2	E14.304+ H36.001*	糖尿病性视网膜病	子串匹配	88.9
结肠息肉病	2	K63.501	结肠息肉	子串匹配	80.0
肝内胆管结石	2	K80.502	胆管结石	子串匹配	66.7
肝炎后肝硬化失代偿期	2	K72.905	肝硬化失代偿期	子串匹配	70.0
肝门胆管恶性肿瘤	2	C24.001	胆管恶性肿瘤	子串匹配	75.0
肾炎综合征	2	N00.903	急性肾炎综合征	子串匹配	71.4
肾输尿管恶性肿瘤	2	C66  01	输尿管恶性肿瘤	子串匹配	87.5
胸腺瘤	2	C37  01	恶性胸腺瘤	子串匹配	60.0
腋下淋巴结继发恶性肿瘤	2	C77.901	淋巴结继发恶性肿瘤	子串匹配	81.8
腹部食管恶性肿瘤	2	C15.901	食管恶性肿瘤	子串匹配	75.0
膝关节积液	2	M25.491	关节积液	子串匹配	80.0
进行性肌营养不良	2	G71.001	肌营养不良	子串匹配	62.5
面单纯疱疹	2	B00.902	单纯疱疹	子串匹配	80.0
顶骨恶性肿瘤	2	C41.901	骨恶性肿瘤	子串匹配	83.3
颈动脉粥样硬化	2	I70.904	动脉粥样硬化	子串匹配	85.7
颌下淋巴结肿大	2	R59.901	淋巴结肿大	子串匹配	71.4
髂骨继发恶性肿瘤	2	C79.501	骨继发恶性肿瘤	子串匹配	87.5
乙状结肠息肉	1	K63.501	结肠息肉	子串匹配	66.7
亚急性甲状腺炎	1	E06.001	急性甲状腺炎	子串匹配	85.7
免疫缺陷	1	D84.901	免疫缺陷病	子串匹配	80.0
出血	1	H92.201	耳出血	子串匹配	66.7
创伤性颅内出血	1	I62.901	非创伤性颅内出血	子串匹配	87.5
失明	1	H54.003	眼失明	子串匹配	66.7
子宫内膜囊肿	1	N80.103	卵巢子宫内膜囊肿	子串匹配	75.0
宫颈溃疡	1	N86  02	子宫颈溃疡	子串匹配	80.0
宫颈肥大	1	N88.804	子宫颈肥大	子串匹配	80.0
干燥综合征	1	H04.104	眼干燥综合征	子串匹配	83.3
急性呼吸衰竭	1	J96.901	呼吸衰竭	子串匹配	66.7
急性失血性贫血	1	D50.002	失血性贫血	子串匹配	71.4
急性白血病复发	1	C95.001	急性白血病	子串匹配	71.4
急性重症胰腺炎	1	K85.006	重症胰腺炎	子串匹配	71.4
慢性呼吸衰竭	1	J96.901	呼吸衰竭	子串匹配	66.7
扁桃体炎	1	J03.903	急性扁桃体炎	子串匹配	66.7
淋巴瘤	1	M85610/0	腺淋巴瘤	子串匹配	75.0
疱疹病毒感染	1	B34.901	病毒感染	子串匹配	66.7
癌性淋巴管炎	1	I89.101	淋巴管炎	子串匹配	66.7
癫痫小发作	1	G41.102	癫痫小发作状态	子串匹配	71.4
皮肤纤维肉瘤	1	M88320/3	隆突性皮肤纤维肉瘤	子串匹配	66.7
直肠乙状结肠炎	1	K51.301	慢性直肠乙状结肠炎	子串匹配	77.8
精索鞘膜积液	1	N43.301	鞘膜积液	子串匹配	66.7
结缔组织炎	1	M79.093	纤维结缔组织炎	子串匹配	71.4
